ID;Graphes;TheorieDecision;Compilation;ProgrammationLineaire;Java;Graphes_1;TheorieDecision_1;CalculDistribue_2;Compilation_1;TheorieDecision_2;ProgrammationLineaire_1;CalculDistribue;Communication_1;Anglais_2;C++_1;IA_2;IA_1;CalculDistribue_1;C++;Communication_2;LV2Espagnol_1;LV2Espagnol_2;LV2Espagnol_3;LV2Allemand_1;LV2Allemand_2;Finance;IA_3;Java_2;Anglais_1;Anglais_3;Communication;Finance_1;IA;Java_1;Communication_5;Architecture;Communication_3;Marketing_1;GenieLogiciel_4;GenieLogiciel_1;Communication_4;Architecture_1;GenieLogiciel;Marketing;GenieLogiciel_2;GenieLogiciel_3
33;1;1;1;1;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
65;1;1;0;1;0;1;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
3;1;1;0;1;0;1;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
38;1;1;0;1;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0
39;1;1;0;1;0;1;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
40;1;1;0;1;0;1;1;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
74;1;1;0;1;0;1;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
12;1;1;1;1;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;1;1;1;0;0
79;1;1;0;1;0;1;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
80;1;1;0;1;0;1;1;0;0;0;1;1;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
19;1;1;1;1;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0
85;1;1;0;1;0;1;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
91;1;1;0;1;0;1;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
60;1;1;1;1;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0
61;1;1;0;1;0;1;1;0;0;0;1;1;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
